date,hospitalized,light-mid_symptoms,severe_symptoms,dead,discharged,PCR_positive,PCR_negative,tested_MA(7days),positive_rate,comparisonPreDay,comparisonPreDeclare,comparisonPreSpread
2020-07-25,0.061723437704434,0.06505702280655068,0.0,0.16302128809919558,-0.5873395538289987,-0.441057024438114,0.3987829386880515,-0.001061861042408907,0.164870326916594,-0.007783168594053038,-0.8405711399802424,-1.0791074566344383
2020-07-26,0.05697548095793903,0.05805088188892227,0.03206099373407656,-0.16302128809919558,-0.4778658645124971,-0.512097009504316,-0.4443077166444751,0.014187643372186587,0.164870326916594,-0.4133403599333714,-1.0943763993604323,-1.330973765085011
2020-07-27,0.09021117818340346,0.09408246375101187,0.01603049686703828,0.0,-0.2899016054973716,-0.3144205293201016,1.2288160995679602,0.04601397850438882,0.10403047895120984,0.6563167322240808,-0.6041498024754077,-0.512408262620651
2020-07-28,-0.0484291588142482,-0.05304649551918755,0.03206099373407645,0.0,-0.3374090555781176,-0.09049014161142124,0.002470336788333055,0.044981613602047,0.14459037759479929,-0.18014497491326334,-0.6910694118521852,-0.6039960111481318
2020-07-29,-0.09780790897779534,-0.10409123649048119,0.01603049686703828,0.16302128809919558,-0.2785411283041497,-0.09357883661429957,-0.12916332350427148,-0.01510202371426106,0.20543022556018348,-0.0432694228362434,-0.6736854899768296,-0.5868233082992291
2020-07-30,0.045580384766351234,0.04804210914945278,0.0,0.0,-0.30126208269059346,-0.14454230416179234,0.04093700963523353,0.10075881446858515,0.14459037759479929,0.012494690972912887,-0.6076265868504789,-0.5181324969036185
2020-07-31,0.04083242801985626,0.04904298642339988,-0.09618298120222957,0.16302128809919558,-0.4582432220878411,-0.02871624155385423,0.18456944861402738,0.1763869176001578,0.18515027623838876,0.017564155864654363,-0.541567683724128,-0.4437174512250404
2020-08-01,0.02184060103387664,0.02402105457472642,-0.01603049686703828,-0.32604257619839117,-0.5036851308607286,-0.362295301864716,-0.6856949113901627,0.024098346434670237,0.18515027623838876,-0.022991563269277475,-0.5067998399734169,-0.7471018682223206
2020-08-02,0.09021117818340352,0.09508334102495883,0.0,0.0,-0.5966344897143621,-0.4966535344899243,-0.539592135623036,0.01306679004964384,0.18515027623838876,-0.6262578853865136,-0.9518282399825174,-1.1878679080108223
2020-08-03,0.04747956746494922,0.05004386369734673,0.0,0.16302128809919558,-0.30952424792202754,-0.13682056665459644,1.146942080297493,0.008347407638937487,0.2459901242037729,0.3724266982865579,-0.6389176462261187,-0.5467536683184563
2020-08-04,0.01614305293808274,0.010008772739469346,0.11221347806926785,-0.16302128809919558,-0.3053931653063105,-0.0920344891128604,-0.15245507036569755,-0.016901288258343028,0.2459901242037729,-0.15986711534629744,-0.7084533337275406,-0.6268929482800021
2020-08-05,0.08831199548480552,0.09408246375101187,-0.01603049686703828,0.0,-0.3828509643510051,-0.051881454075441855,0.18845140642426503,0.024865246076410163,0.2459901242037729,0.1341618483747084,-0.5554748212244124,-0.46089015407394296
2020-08-06,0.000949591349299006,0.0010008772739469388,0.0,0.0,-0.3105570185759568,-0.08122405660278617,-0.11328258700784469,0.00996969534261738,0.26627007352556764,-0.03313049305276044,-0.5311373305989147,-0.4322689826591053
2020-08-07,-0.000949591349299006,-0.0030026318218408093,0.03206099373407656,0.0,-0.27544281634236195,-0.1476309991646707,0.1482202072999837,-0.001415814723211728,0.20543022556018348,0.032772550539878806,-0.4476945055972084,-0.346405468414592
2020-08-08,0.03228610587616546,0.032028072766301915,0.03206099373407645,0.0,-0.3849165056588636,-0.3113318343172233,-0.6154667655504085,0.011031556385026509,0.2257101748819782,-0.15986711534629744,-0.5207069774737014,-0.7642745710712233
2020-08-09,0.08736240413550653,0.09408246375101187,-0.03206099373407645,0.0,-0.4665053873192752,-0.4935648394870459,-0.6458166175213577,-0.002241706645085717,0.2257101748819782,-0.26125641318112697,-0.6736854899768296,-0.9131046624283796
2020-08-10,0.0769168992932177,0.08007018191575477,0.01603049686703817,0.16302128809919558,-0.4427516622789022,-0.5568830870460519,-0.1012838083216554,-0.17800920530383813,0.2257101748819782,-0.3727846407994396,-0.903153258731522,-1.1420740337470816
2020-08-11,0.02658855778037157,0.030026318218408066,-0.03206099373407645,0.16302128809919558,-0.3828509643510051,-0.1846953391992109,1.3181011292034264,0.029909086027853027,0.164870326916594,0.2203427515343136,-0.6980229806023274,-0.6097202454310995
2020-08-12,-0.0484291588142482,-0.05004386369734676,-0.01603049686703828,-0.32604257619839117,-0.32501580773096644,-0.1846953391992109,-0.12986913401522376,-0.016901288258342917,0.12431042827300455,-0.15479765045455596,-0.7606050993536071,-0.6784110568267101
2020-08-13,-0.0009495913492989644,-0.0010008772739469318,0.0,0.32604257619839117,-0.3084914772680983,-0.21867098423087275,0.035996336058567446,0.0003244575407361783,0.043190630985825776,-0.028061028161018957,-0.7327908243530383,-0.6497898854118723
2020-08-14,-0.09305995223130045,-0.10108860466864042,0.04809149060111473,-0.32604257619839117,-0.2010833292594552,-0.29279966429995313,-0.08822631386903793,-0.026900479741027605,0.002630732342236321,0.16457863772515727,-0.5589516055994834,-0.46089015407394296
2020-08-15,-0.018042235636680694,-0.018015790931044825,-0.01603049686703817,0.0,-0.3084914772680983,-0.3839161668848645,-0.556178682630415,-0.020411328926305816,-0.017649216979558548,-0.12438086110410708,-0.6006730181003366,-0.8444138510327692
2020-08-16,0.06077384635513498,0.06205439098470997,0.03206099373407645,0.32604257619839117,-0.4727020112428508,-0.5368065695273428,-0.5674716508056519,-0.01053012200388903,-0.017649216979558548,-0.5755632364690989,-0.9970264368584416,-1.2336617822745626
2020-08-17,0.05792507230723801,0.05905175916286913,0.03206099373407656,-0.16302128809919558,-0.3766543404274295,-0.2974327068042707,1.170586732414395,0.1678625331208191,-0.03792916630135314,0.255829005776504,-0.7675586681037493,-0.6841352911096775
2020-08-18,-0.02373978373247458,-0.029025440944461106,0.06412198746815301,0.32604257619839133,-0.2434269260705549,-0.27426749428268304,0.07905077722665801,-0.016163884756669966,-0.0784890649449426,0.0581198749985862,-0.6736854899768296,-0.5868233082992291
2020-08-19,-0.025638966431072573,-0.028024563670514147,0.01603049686703828,0.0,-0.21554211841446486,-0.26500140927404797,-0.16127770175260134,-0.011326517785695933,-0.0987690142667372,0.09867559413251804,-0.5450444680991992,-0.449441685508008
2020-08-20,-0.040832428019856315,-0.047041231875505955,0.06412198746815306,-0.32604257619839133,-0.33431074361632984,-0.3684726918704727,-0.29255845678972975,-0.052975067560181,-0.11904896358853205,0.0581198749985862,-0.4476945055972084,-0.3406812341316244
2020-08-21,-0.005697548095793905,-0.0030026318218408024,-0.04809149060111484,0.16302128809919558,-0.3312124316545421,-0.3144205293201016,0.37478538131567307,0.0028611255864907648,-0.11904896358853205,0.03784201543162029,-0.3607748962204309,-0.24909348560414366
2020-08-22,0.009495913492989842,0.006005263643681605,0.06412198746815301,-0.32604257619839117,-0.4830297177821434,-0.4657665844611408,-0.6489927648206428,-0.010913571824758828,-0.15960886223212134,0.0885366643490351,-0.2321338743428004,-0.4780628569228457
2020-08-23,0.005697548095793901,0.004003509095787741,0.032060993734076504,0.0,-0.4716692405889215,-0.5630604770518087,-0.5325340305135129,-0.0020647298046841955,-0.15960886223212134,-0.6870914640874114,-0.7571283149785359,-0.9989681766728928
2020-08-24,0.04842915881424819,0.05204561824524061,-0.016030496867038224,0.32604257619839117,-0.3301796610006128,-0.32986400433449337,1.158940858983682,-0.003421552247762416,-0.1798888115539161,0.2913152600186943,-0.4928927024731327,-0.3921993426783325
2020-08-25,-0.06457221175233091,-0.06405614553260383,-0.06412198746815295,0.0,-0.2960982294209472,-0.32214226682729746,0.03493762029213898,-0.007786980977665614,-0.1798888115539161,0.17978703240038174,-0.2947159930940801,-0.18040267420853304
2020-08-26,-0.03988283667055733,-0.03903421368393045,-0.04809149060111484,0.0,-0.2981637707288057,-0.34839617435176345,0.019409789051188342,0.012860317069175453,-0.2407286595193003,-0.07875567707843376,-0.3016695618442223,-0.1861269084915005
2020-08-27,-0.045580384766351234,-0.048042109149452866,0.0,-0.32604257619839117,-0.3188191838073909,-0.3931822518934995,0.12034069211736778,0.06356418184420398,-0.2812885581628897,-0.23083962383067816,-0.43726415247199496,-0.3349569998486569
2020-08-28,-0.13864033699765166,-0.14512720472230556,-0.01603049686703828,0.32604257619839117,-0.2217387423380404,-0.3808274718819861,-0.06493456700761194,0.012948805489376047,-0.3218484568064792,0.35721830361133355,-0.09306249933995647,0.03711822854423398
2020-08-29,0.017092644287381664,0.016014036383150965,0.03206099373407656,-0.32604257619839117,-0.5181439200157383,-0.495109186988485,-0.6885181534339719,0.005899228013383162,-0.3421284061282738,0.25075954088476243,0.18855703504080232,-0.065917988549182
2020-08-30,0.04937875016354723,0.05004386369734673,0.03206099373407656,0.32604257619839117,-0.4964557362832238,-0.5676935195561263,-0.64652242803231,-0.007963957818067358,-0.3421284061282738,-0.6059800258195476,-0.3120999149694356,-0.5582021368843914
2020-08-31,0.04463079341705224,0.049042986423399826,-0.03206099373407656,0.16302128809919575,-0.44584997424069,-0.4348796344323573,1.0894185236548803,-0.021207724708112496,-0.3624083554500685,0.022633620756395845,-0.23561065871787135,-0.1174360970958899
2020-09-01,-0.04178201936915531,-0.041035968231824343,-0.04809149060111484,-0.32604257619839133,-0.4355222677013974,-0.3947265993949387,0.34372971883377174,0.01778617246035019,-0.4029682540936578,-0.06354728240320931,-0.2286570899677292,-0.11171186281292224
2020-09-02,-0.010445504842288816,-0.011009650013416278,0.0,-0.16302128809919558,-0.4541121394721241,-0.4441457194409923,-0.14822020729998367,-0.003067598566959151,-0.4638081020590421,-0.058477817511467835,-0.22170352121758705,-0.1002633942469872
2020-09-03,-0.05412670691004215,-0.05504825006708142,-0.03206099373407645,0.16302128809919558,-0.3849165056588636,-0.39781529439781693,0.04128991489070971,-0.010323649023420645,-0.4638081020590421,-0.21056176426371226,-0.3399141899700043,-0.2319207827552409
2020-09-04,-0.021840601033876583,-0.024021054574726447,0.01603049686703828,0.4890638642975869,-0.3849165056588636,-0.459589194455384,0.07728625094927724,0.0037165136484315076,-0.5043680007026314,0.11388398880774248,-0.1904124618419472,-0.065917988549182
2020-09-05,-0.012344687540886773,-0.01201052728736321,-0.01603049686703828,-0.6520851523967826,-0.4964557362832238,-0.4966535344899243,-0.6158196708058847,0.02026384822597127,-0.5043680007026314,0.25075954088476243,0.08773028816374054,-0.16322997135963035
2020-09-06,0.015193461588783708,0.016014036383150965,0.0,0.0,-0.5460287276718283,-0.5599717820489304,-0.756275962485393,0.003657521368297445,-0.5043680007026314,-0.33222892166550777,-0.1521678337161651,-0.4036478112442675
